#,专项,信贷,基金,知识产权,示范,科技支撑计划,科技重大专项,自然科学基金,补助,规划,评估,高技术研究发展计划,高新区
专项,0,1,1,0,1,1,2,0,1,0,0,1,1
信贷,0,0,0,0,0,1,1,0,0,0,0,1,1
基金,0,0,0,0,1,0,0,3,0,0,0,0,0
知识产权,0,0,0,0,0,0,0,0,0,0,1,0,0
示范,0,0,0,0,0,0,0,0,1,0,0,0,0
科技支撑计划,0,0,0,0,0,0,1,0,0,0,0,1,1
科技重大专项,0,0,0,0,0,0,0,0,0,0,0,1,1
自然科学基金,0,0,0,0,0,0,0,0,0,0,0,0,0
补助,0,0,0,0,0,0,0,0,0,0,0,0,0
规划,0,0,0,0,0,0,0,0,0,0,0,0,0
评估,0,0,0,0,0,0,0,0,0,0,0,0,0
高技术研究发展计划,0,0,0,0,0,0,0,0,0,0,0,0,1
高新区,0,0,0,0,0,0,0,0,0,0,0,0,0
